PLAYER,POS,APPS,SUBAPP,GOALS,HEIGHT,WEIGHT,G,D,M,F
Arkadiusz Bak,M,2,2,0,1.83,88.89,0,1,1,0
Neil Barnes,G,0,0,0,1.83,88.89,1,0,0,0
Ian Bennett,G,19,0,0,1.83,79.37,1,0,0,0
Bjorn Otto Bragstad,D,3,0,0,1.96,91.61,0,1,1,0
David Burrows,D,9,3,0,1.78,73.47,0,1,0,0
Darren Carter,M,13,1,1,1.88,78,0,1,1,1
Clint Davies,G,0,0,0,1.79,77.88,1,0,0,0
Paul Devlin,M,11,2,1,1.73,65.76,0,1,1,1
Nicky Eaden,D,25,5,1,1.7,69.84,0,1,1,0
Carlos Ferrari,F,0,4,0,1.88,73.5,0,0,0,1
Curtis Fleming,D,6,0,0,1.78,80.27,0,1,0,0
Paul Furlong,F,2,9,1,1.83,84.81,0,0,0,1
Jeremy Gill,D,14,0,0,1.73,69.84,0,1,0,0
Martin Grainger,D,40,1,4,1.8,76.19,0,1,1,1
David Holdsworth,D,3,1,0,1.85,78,0,1,0,0
Geoff Horsfield,F,34,7,11,1.83,73.02,0,0,1,1
Bryan Hughes,M,28,4,7,1.78,71.2,0,0,1,1
Michael Hughes,M,3,0,0,1.68,67.12,0,0,1,0
Joey Hutchinson,D,0,3,0,1.8,74.83,0,1,0,0
Graham Hyde,M,1,4,0,1.7,73.02,0,0,1,0
Stern John,F,15,0,7,1.75,82.54,0,0,0,1
Michael Johnson,D,31,2,1,1.8,69.84,0,1,1,0
Andrew Johnson,F,9,14,3,1.7,63.49,0,0,1,1
Damien Johnson,M,5,3,1,1.75,63.04,0,1,1,0
Alan Kelly,G,6,0,0,1.88,78.46,1,0,0,0
Jeff Kenna,D,22,0,0,1.8,77.1,0,1,0,0
Stan Lazaridis,M,23,10,0,1.75,75.28,0,0,1,0
Tresor Luntala,M,9,6,0,1.75,69.84,0,1,1,0
Marcelo,F,17,5,12,1.83,86.17,0,0,0,1
Jon McCarthy,M,3,1,0,1.78,69.84,0,0,1,0
Tommy Mooney,F,30,4,13,1.8,78.91,0,0,0,1
Martyn O'Connor,M,24,0,0,1.75,79.82,0,1,1,0
Kevin Poole,G,0,0,0,1.78,78.91,1,0,0,0
Darren Purse,D,36,1,3,1.88,79.82,1,1,1,0
Danny Sonner,M,10,5,1,1.78,69.84,0,0,1,0
Olivier Tebily,D,7,0,0,1.83,82.54,0,1,0,0
Nico Vaesen,G,22,1,0,1.91,85.26,1,0,0,0
Steve Vickers,D,13,1,1,1.85,81.63,0,1,1,0
Tom Williams,D,4,0,0,1.75,78,0,1,0,0
Curtis Woodhouse,M,18,10,0,1.73,69.84,0,1,1,0
